DEBUG 2006-12-01 07:52:49,359 [ErgoControl.ErgoControl.main(ErgoControl.java:501)] - Logger started successfully
DEBUG 2006-12-01 07:54:09,187 [ErgoControl.ErgoControl.main(ErgoControl.java:501)] - Logger started successfully
DEBUG 2006-12-01 07:56:20,250 [ErgoControl.ErgoControl.main(ErgoControl.java:501)] - Logger started successfully
DEBUG 2006-12-01 08:01:47,312 [ErgoControl.ErgoControl.main(ErgoControl.java:501)] - Logger started successfully
DEBUG 2006-12-01 08:02:23,390 [ErgoControlServer.net.ErgoControlServer.run(ErgoControlServer.java:40)] - Server started...
DEBUG 2006-12-01 08:02:23,437 [ErgoControlClient.net.ErgoControlClient.connect(ErgoControlClient.java:39)] - Try to connect to server <localhost/127.0.0.1>...
DEBUG 2006-12-01 08:02:24,156 [ErgoControlServer.net.ErgoControlServer.run(ErgoControlServer.java:61)] - Process client request...
DEBUG 2006-12-01 08:02:24,375 [ErgoControlClient.net.ErgoControlClient.connect(ErgoControlClient.java:48)] - Send connect
DEBUG 2006-12-01 08:02:24,375 [ErgoControlServerThread.net.ErgoControlServerThread.run(ErgoControlServerThread.java:54)] - Client request processing initiated...
DEBUG 2006-12-01 08:02:24,375 [ErgoControlClient.net.ErgoControlClient.connect(ErgoControlClient.java:53)] - Wait for answer...
DEBUG 2006-12-01 08:02:24,375 [ErgoControlServerThread.net.ErgoControlServerThread.run(ErgoControlServerThread.java:58)] - get request...
DEBUG 2006-12-01 08:02:24,406 [ErgoControlServerThread.net.ErgoControlServerThread.run(ErgoControlServerThread.java:63)] - connect requested
DEBUG 2006-12-01 08:02:24,703 [ErgoControlServerThread.net.ErgoControlServerThread.run(ErgoControlServerThread.java:78)] - Client connected with id Becks
DEBUG 2006-12-01 08:02:24,703 [ErgoControlClient.net.ErgoControlClient.connect(ErgoControlClient.java:62)] - Connection status = true
DEBUG 2006-12-01 08:02:24,703 [ErgoControlServerThread.net.ErgoControlServerThread.run(ErgoControlServerThread.java:127)] - Client request processed
DEBUG 2006-12-01 08:02:24,859 [ErgoControlServerThread.net.ErgoControlServerThread.run(ErgoControlServerThread.java:54)] - Client request processing initiated...
